id,name,citations,year,title,url
939,Duncan Irschick,67,2002,Evolutionary approaches for studying functional morphology: examples from studies of performance capacity,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,66,2007,"Hormones, sexual signals, and performance of green anole lizards (Anolis carolinensis)",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,66,2006,The quick and the fast: the evolution of acceleration capacity in Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,66,1998,An intraspecific analysis of trade-offs in sprinting performance in a West Indian lizard species (Anolis lineatopus),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,62,2003,Effects of loading and size on maximum power output and gait characteristics in geckos,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,62,2000,A field study of incline use and preferred speeds for the locomotion of lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,60,2005,"Intraspecific correlations among morphology, performance and habitat use within a green anole lizard (Anolis carolinensis) population",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,54,2005,Effects of substrate structure on speed and acceleration capacity in climbing geckos,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,54,2005,Toe-clipping dramatically reduces clinging performance in a pad-bearing lizard (Anolis carolinensis),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,54,2004,Ontogeny of intersexual head shape and prey selection in the pitviper Agkistrodon piscivorus,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,53,2004,Overcoming an evolutionary conflict: removal of a reproductive organ greatly increases locomotor performance,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,52,2009,Variability in sensory ecology: expanding the bridge between physiology and evolutionary biology,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,52,2005,The relationship between dewlap size and performance changes with age and sex in a green anole (Anolis carolinensis) lizard population,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,50,2004,"Evolutionary correlations among morphology, habitat use and clinging performance in Caribbean Anolis lizards",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,50,1996,"Morphology, ecology, and behavior of the twig anole, Anolis angusticeps",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,49,2007,Rapid shifts in the chemical composition of aspen forests: an introduced herbivore as an agent of natural selection,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,49,2000,Comparative and behavioral analyses of preferred speed: Anolis lizards as a model system,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,47,2009,What determines dewlap diversity in Anolis lizards? An among‐island comparison,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,45,2005,Phylogenetic methodologies for studying specialization,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,44,2006,Are morphology–performance relationships invariant across different seasons? A test with the green anole lizard (Anolis carolinensis),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,43,2006,Divergent roles for multiple sexual signals in a polygynous lizard,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,42,2006,"No Evidence for Female Association with High‐Performance males in the Green Anole Lizard, Anolis carolinensis",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,42,2000,"Ontogenetic differences in morphology, habitat use, behavior, and sprinting capacity in two West Indian Anolis lizards",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,41,2006,Out on a limb: the differential effect of substrate diameter on acceleration capacity in Anolis lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,41,2005,Effects of temperature on maximum clinging ability in a diurnal gecko: evidence for a passive clinging mechanism?,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,40,2014,Creating Gecko‐Like Adhesives for “Real World” Surfaces,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,39,2008,The reproductive role hypothesis explains trophic morphology dimorphism in the northern map turtle,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,38,2008,Morphological convergence as a consequence of extreme functional demands: examples from the feeding system of natricine snakes,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,38,2006,Whole-organism studies of adhesion in pad-bearing lizards: creative evolutionary solutions to functional problems,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,37,2013,"Evolutionary conservatism and convergence both lead to striking similarity in ecology, morphology and performance across continents in frogs",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,36,2010,Alternate pathways of body shape evolution translate into common patterns of locomotor evolution in two clades of lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,36,2007,Effects of temperature and sex on jump performance and biomechanics in the lizard Anolis carolinensis,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,35,2012,A comparison of spatial and movement patterns between sympatric predators: bull sharks (Carcharhinus leucas) and Atlantic tarpon (Megalops atlanticus),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,35,2008,Anatomical basis of differences in locomotor behavior in Anolis lizards: a comparison between two ecomorphs,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,34,2007,An analysis of the relative roles of plasticity and natural selection in the morphology and performance of a lizard (Urosaurus ornatus),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,34,2005,Have male and female genitalia coevolved? A phylogenetic analysis of genitalic morphology and sexual size dimorphism in web-building spiders (Araneae: Araneoidea),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,33,2004,Frugivory in polychrotid lizards: effects of body size,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,33,2003,Ecomorphological differences in toepad characteristics between mainland and island anoles,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,33,2000,Size matters: ontogenetic variation in the three-dimensional kinematics of steady-speed locomotion in the lizard Dipsosaurus dorsalis,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,33,1997,The polytypic species revisited: morphological differentiation among tiger salamanders (Ambystoma tigrinum)(Amphibia: Caudata),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,31,2007,New directions for studying selection in nature: studies of performance and communities,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,31,2006,An analysis of inter‐population divergence in visual display behavior of the green anole lizard (Anolis carolinensis),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,31,2005,"Early hatching decreases jumping performance in a direct‐developing frog, Eleutherodactylus coqui",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,29,2007,Determinants of sexual differences in escape behavior in lizards of the genus Anolis: a comparative approach,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,29,2006,"Effects of temperature on maximum acceleration, deceleration and power output during vertical running in geckos",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,27,2012,An experimental test of the effect of signal size and performance capacity on dominance in the green anole lizard,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,27,2009,Hormonal regulation of whole-animal performance: implications for selection,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,27,2006,Do juvenile gape‐limited predators compensate for their small size when feeding?,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,26,2015,Evolutionary theory as a tool for predicting extinction risk,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,26,2007,A performance based approach to distinguish indices from handicaps in sexual selection studies,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,26,2007,"Testing the persistence of phenotypic plasticity after incubation in the western fence lizard, Sceloporus occidentalis",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,26,2005,"Comparisons of aquatic versus terrestrial predatory strikes in the pitviper, Agkistrodon piscivorus",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,25,2012,Vertebral evolution and the diversification of squamate reptiles,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,23,2009,Directional evolution of stockiness coevolves with ecology and locomotion in lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,20,2009,"Field experiments, introductions, and experimental evolution",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,20,2006,Movement control strategies during jumping in a lizard (Anolis valencienni),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,19,2013,Evo-devo beyond morphology: from genes to resource use,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,19,2007,Dissecting the effects of behaviour and habitat on the locomotion of a lizard (Urosaurus ornatus),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,17,2002,"Is evolution predictable? Evolutionary relationships of divergence in ecology, performance and morphology in Old and New World lizard radiations",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,16,2009,Hormonal response of male green anole lizards (Anolis carolinensis) to GnRH challenge,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,15,2013,"Springs, steroids, and slingshots: the roles of enhancers and constraints in animal movement",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,15,2004,Fighting tactics differ in two distinct male phenotypes in a lizard: heavyweight and lightweight bouts,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,14,2016,Extreme positive allometry of animal adhesive pads and the size limits of adhesion-based climbing,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,14,2011,"Loading effects on jump performance in green anole lizards, Anolis carolinensis",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,14,2009,Steroid use and human performance: lessons for integrative biologists,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,14,2008,"Studying the evolution of whole-organism performance capacity: sex, selection, and haiku-an introduction",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,13,2015,Trait compensation between boldness and the propensity for tail autotomy under different food availabilities in similarly aged brown anole lizards,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,13,2007,"Do displays send information about ornament structure and male quality in the ornate tree lizard, Urosaurus ornatus?",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,13,2005,Age-specific forced polymorphism: implications of ontogenetic changes in morphology for male mating tactics,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,12,2013,Foils of flexion: the effects of perch compliance on lizard locomotion and perch choice in the wild,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,12,2009,"The contributions of evolutionary divergence and phenotypic plasticity to geographic variation in the western fence lizard, Sceloporus occidentalis",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,12,2006,Power generation during locomotion in Anolis lizards: an ecomorphological approach,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,11,2016,Animal Athletes : An Ecological and Evolutionary Approach,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,11,2014,Body condition predicts energy stores in apex predatory sharks,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,11,2007,"Microhabitat use, diet, and performance data on the Hispaniolan twig anole, Anolis sheplani: pushing the boundaries of morphospace",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,10,2015,Geckos as springs: Mechanics explain across-species scaling of adhesion,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,9,2013,The impact of tail loss on stability during jumping in green anoles (Anolis carolinensis),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,9,2012,Total recoil: perch compliance alters jumping performance and kinematics in green anole lizards (Anolis carolinensis),http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,9,2010,Experimental test of predation and competition pressures on the green anole (Anolis carolinensis) in varying structural habitats,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,9,2007,"1115301. Effects of supplementing with single or multiple trace minerals on growth performance, fecal mineral excretion and nutrient utilization in pullets from 1 to 18 weeks of age",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,9,2006,Effects of sarcophagid fly infestations on green anole lizards (Anolis carolinensis): an analysis across seasons and age/sex classes,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,8,2012,Take this broken tail and learn to jump: the ability to recover from reduced in-air stability in tailless green anole lizards [Anolis carolinensis (Squamata: Dactyloidae)],http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,7,2014,Animal Signaling and Function: An Integrative Approach,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,7,2011,Geographic variation in the effects of heat exposure on maximum sprint speed and Hsp70 expression in the western fence lizard Sceloporus occidentalis,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,6,2015,Morphological scaling of body form in four shark species differing in ecology and life history,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,6,2003,"Ontogeny of head shape, bite performance and diet in the Jamaican lizard Anolis lineatopus",http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,5,2016,Developmental plasticity affects sexual size dimorphism in an anole lizard,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,5,2014,Oddball science: why studies of unusual evolutionary phenomena are crucial,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
939,Duncan Irschick,5,2013,Functional ecology: integrative research in the modern age of ecology,http://scholar.google.com/citations?user=AIINUSQAAAAJ&hl=en&cstart=0&pagesize=100
